renda_mensal,idade,score_credito,tempo_relacionamento,limite_credito
5808.1,33,60,2,3274.04
8772.37,63,50,9,5520.63
5349.16,45,82,13,9159.27
5515.1,47,66,10,6385.67
4851.11,55,97,13,8928.71
1500.0,64,85,10,4894.96
4946.97,27,68,14,10325.47
5120.46,27,62,13,8472.31
9926.48,20,68,10,9874.87
4615.28,58,56,9,7861.38
5603.09,64,56,0,1004.94
4930.58,35,70,4,4481.81
2662.64,39,92,6,3962.63
7285.65,46,55,4,5291.52
6503.87,25,68,5,6612.27
6582.06,25,50,8,7642.21
3181.23,20,62,2,2023.24
7805.59,47,95,13,10452.74
2196.3,27,80,13,9399.48
6173.71,25,77,6,5934.13
9380.91,24,67,13,9611.8
3018.93,55,50,10,4549.42
3867.4,56,65,1,1981.6
5199.3,36,82,2,2056.8
3993.05,31,77,3,3640.25
1898.67,67,72,12,7306.0
5137.13,50,52,6,4618.45
2875.39,64,55,14,9112.08
5947.18,45,72,5,5277.89
3161.15,37,56,13,7035.42
8099.87,57,84,7,7857.08
3433.49,61,64,1,324.55
4355.88,18,77,3,2202.51
6627.03,43,80,6,5247.48
2538.27,27,83,9,4778.46
5454.92,49,51,6,2133.48
7614.29,66,58,0,3008.3
1785.03,49,63,11,6490.79
5369.27,37,95,7,7409.77
5519.77,53,94,1,2893.8
6563.65,47,54,10,6669.13
2526.1,51,73,7,3128.58
2359.09,50,60,9,5143.54
6043.88,31,91,1,2181.13
5593.97,39,85,7,6627.47
5500.99,45,65,10,7198.79
5692.9,47,98,6,4415.7
3639.95,66,85,3,1216.37
5464.51,64,77,4,3368.76
5586.14,25,92,10,7234.54
3571.3,45,56,3,3141.35
8731.55,38,77,3,5425.39
5947.67,26,58,5,5914.09
2617.39,62,87,3,1671.49
6313.11,33,93,2,3717.25
3050.64,45,69,2,2071.04
6574.17,18,80,14,9676.31
7317.19,54,61,12,8257.47
3358.64,67,71,10,7154.23
6926.75,22,95,8,5776.55
5825.56,29,98,12,10147.32
6644.12,27,63,10,8715.56
8793.59,35,92,7,8628.08
4509.22,32,56,7,6087.99
3492.53,62,82,11,5054.67
3220.97,19,82,14,7981.87
3368.38,69,93,7,3410.7
4845.8,33,50,11,6559.42
5682.3,57,68,12,8213.78
5553.38,26,82,8,7105.69
6654.37,46,79,1,4743.62
5026.0,33,76,2,3941.56
7907.07,29,95,13,9550.94
4470.69,31,82,9,8180.8
10440.34,57,66,9,6941.87
6251.33,55,63,5,4394.27
3285.68,50,57,9,4546.97
2858.22,63,65,10,5674.35
5964.94,42,62,14,11143.68
4553.07,40,97,8,5457.98
6428.0,24,84,5,6841.02
5946.48,64,65,1,4102.44
4854.34,50,95,11,6139.05
3306.41,24,93,1,1307.96
1970.31,38,84,7,5714.74
4106.97,28,84,5,4966.25
6712.8,35,83,2,4501.82
5428.19,28,84,6,5983.53
2508.52,38,86,10,7109.32
5346.36,68,92,12,6921.32
5770.63,62,80,11,7766.22
3232.29,36,96,5,2912.03
5307.45,44,75,5,3903.4
5116.42,29,62,10,6757.08
2714.06,19,53,9,6195.31
5715.57,23,83,14,10900.64
6121.57,56,74,9,6491.3
7166.1,31,54,6,2472.72
7107.6,65,55,2,3492.63
2244.66,42,78,10,4853.6
3124.35,69,78,5,5309.04
6030.07,56,89,3,3871.62
6027.57,32,64,4,5823.24
6030.1,41,79,14,9651.75
12705.46,38,96,10,10011.75
6141.78,50,62,7,6088.97
7271.13,37,62,13,7925.35
6908.0,61,52,14,8692.03
6302.78,65,62,12,8226.15
4369.46,23,61,8,7660.95
6517.94,25,67,9,7862.17
3454.35,48,71,6,3373.38
4526.36,24,81,12,6600.8
4029.27,53,93,8,7281.04
5163.75,45,73,3,3772.16
9629.32,54,90,11,8434.54
1500.0,51,86,14,6475.52
6372.52,67,65,6,5467.42
1774.57,41,61,0,655.09
4056.14,53,58,4,3622.33
7177.9,23,92,0,3058.08
5128.56,41,78,14,7906.26
2844.51,29,82,11,7279.76
3569.39,66,60,5,2836.97
6359.2,48,68,6,3866.17
3539.27,47,66,9,6924.22
5432.92,36,58,12,8706.36
5091.14,39,55,2,2794.92
3696.8,46,57,14,7500.35
9287.89,36,54,0,4147.91
6267.84,39,67,9,5978.3
1500.0,65,71,1,-110.06
5372.91,28,89,11,9588.26
3676.43,53,78,1,3761.16
6704.87,36,53,1,2839.2
3414.96,68,70,14,6230.46
4770.53,21,77,14,8104.39
6009.97,32,58,9,6638.94
6731.51,23,71,4,5685.45
2599.41,38,92,7,5425.67
4331.0,18,84,5,5024.39
4050.11,21,67,8,5774.32
3693.34,33,54,13,8323.55
8530.91,46,70,12,10152.03
5809.96,43,78,5,5879.53
2478.23,49,54,8,5722.31
6835.72,37,87,9,5273.59
9244.31,18,87,7,7059.38
7064.93,34,53,2,4791.64
1961.26,21,71,5,1871.97
4031.53,53,81,11,7189.92
7533.82,53,87,6,3224.1
3584.66,37,66,5,3463.6
5887.64,35,61,14,9325.4
6549.27,56,76,14,9341.0
3146.14,21,89,11,7960.15
4880.95,30,52,12,6795.24
1500.0,62,88,2,1751.37
2951.22,68,56,8,5681.25
4494.86,43,93,14,8784.22
2504.43,69,90,1,1183.21
8264.82,68,74,5,6228.15
2139.72,26,71,13,7110.46
4119.91,38,50,14,7981.66
5261.48,33,95,14,8791.77
7882.55,43,83,11,7636.74
2128.28,55,68,4,764.79
7326.33,47,80,2,3913.2
5020.47,43,60,3,3333.82
3036.98,51,80,9,6551.29
5924.21,37,91,10,7367.57
5398.12,40,56,2,2236.92
3799.57,58,77,7,4804.92
5139.6,49,88,14,10165.46
4229.37,47,64,10,6712.82
5227.03,43,86,0,1756.49
6324.26,60,64,6,4472.01
8172.03,41,89,7,6515.51
2524.37,61,89,0,1083.42
9266.07,20,97,5,7840.14
1500.0,41,96,2,4657.16
4696.43,58,78,3,5098.65
6176.63,48,71,4,4041.17
5561.98,39,52,12,8114.56
3754.6,39,80,1,2142.44
4583.76,26,86,10,5551.27
4014.0,40,54,8,5103.4
3821.27,40,81,4,4853.95
6699.2,37,88,7,5334.78
5714.03,44,94,8,7208.88
3614.18,44,99,3,3313.03
6799.2,46,63,4,3540.85
5614.6,21,70,3,4867.65
6625.72,69,94,0,1995.45
6259.26,32,64,8,7577.06
3342.01,24,72,4,5324.92
3879.64,37,62,7,5241.43
6494.59,26,57,0,5229.34
6220.74,65,53,7,6146.9
4958.2,46,70,10,5005.53
5234.65,28,65,8,7461.35
7555.33,19,92,5,6072.24
3816.86,41,93,2,2509.37
6094.19,19,61,7,5130.92
4595.61,58,64,4,3113.02
4564.64,29,63,9,7550.97
7197.55,39,53,12,8730.16
6650.83,22,50,0,1748.89
6627.02,69,74,14,9900.39
7610.96,33,98,13,10477.88
5042.01,24,80,11,8666.16
6363.91,60,59,10,6854.71
4379.47,25,96,3,3818.13
5648.33,68,88,8,5297.86
4739.71,37,83,5,3202.22
5193.99,63,83,2,3027.32
6190.31,44,62,12,7318.83
3363.56,34,94,7,6880.19
9184.77,35,83,1,4525.29
2987.97,34,52,8,6002.1
2571.62,29,72,9,5204.01
7316.22,48,70,1,4701.58
6583.33,65,83,10,8549.5
6248.24,51,70,0,4021.1
6256.69,64,82,0,1028.41
4975.51,20,58,12,8186.67
3205.49,23,78,6,5195.31
5151.61,25,75,1,2057.04
3645.68,60,58,5,3749.08
6950.24,33,60,12,8674.97
4705.89,33,92,3,3972.68
3349.01,46,72,2,2302.71
4357.23,37,94,3,2649.13
5825.86,33,61,0,1694.81
3872.55,27,65,3,3691.87
3355.56,40,61,1,2663.6
5487.37,50,74,2,4364.63
5489.93,69,80,6,4578.02
3986.11,47,55,12,8203.08
4057.92,36,51,11,5848.88
5464.1,26,89,9,7573.73
2103.83,50,81,1,1285.99
2185.07,42,61,8,6040.73
3563.11,66,97,7,6847.21
4573.11,21,91,1,2545.66
5621.82,54,64,2,3992.97
7950.71,57,64,2,5264.45
6715.32,37,82,0,3153.4
4680.12,56,59,11,8205.55
4961.97,24,59,6,5542.19
2994.94,56,79,2,3501.92
4962.97,23,79,13,8439.32
4422.68,60,96,11,6535.67
5645.44,24,61,1,2498.43
3345.54,23,71,6,3928.68
6038.69,19,52,0,4042.35
8065.48,28,59,0,1433.89
4782.48,60,52,2,1440.2
5803.42,41,84,6,6886.8
6380.29,23,88,6,6024.73
4197.56,63,51,9,5366.85
5448.18,68,99,4,2564.1
5025.18,67,93,7,5049.23
5195.35,69,77,5,3158.45
3453.98,41,50,5,2634.79
5049.02,19,80,12,8070.68
5996.0,57,53,5,5273.32
7902.29,32,64,6,6140.61
6918.54,24,67,3,3248.29
9306.36,43,66,1,3790.76
3465.3,50,89,7,5832.49
6744.64,51,55,14,9730.55
5366.68,28,50,2,2890.35
9379.61,40,66,2,4477.73
3383.4,69,69,0,3213.21
3320.56,42,91,5,4812.71
3801.21,29,96,9,5837.75
1500.0,40,95,10,4279.89
3948.49,50,95,11,7684.8
3481.73,59,55,10,3629.48
5300.79,38,63,12,9153.42
5683.51,26,96,12,7852.33
8752.34,58,73,9,6615.91
6900.85,31,82,13,9661.59
3846.19,44,71,10,5709.66
3203.17,26,88,14,9572.99
5983.84,61,60,8,6919.48
2359.53,62,80,14,6660.15
8662.92,44,77,14,8975.5
7358.88,27,58,1,4551.12
4061.65,64,97,1,1970.23
1573.73,21,57,9,5199.13
7707.74,56,82,5,2518.04
4770.92,19,92,12,8125.96
7475.63,57,91,10,9488.45
1811.14,41,91,6,4521.84
3801.25,53,62,10,4200.2
5010.49,63,90,4,3636.5
5093.96,27,84,8,7070.96
4099.87,69,82,13,7415.9
6245.7,54,82,8,5886.35
2864.76,39,91,6,3262.95
4715.24,36,80,2,2663.48
5240.59,22,74,7,6856.29
6028.88,63,64,9,5912.16
6423.23,46,65,10,6307.88
2750.72,49,96,6,3579.01
1931.77,59,52,13,5309.7
7555.35,33,93,7,7077.23
5664.63,20,63,0,2639.26
3503.03,50,53,0,2059.17
8102.3,57,52,13,8848.7
5231.35,28,73,10,7739.16
7358.59,57,71,6,5197.9
5135.04,26,86,10,8543.16
9121.5,45,98,6,5922.64
8510.68,46,80,3,4078.49
4502.07,46,88,10,5715.61
6943.14,56,92,12,8374.2
6290.75,58,56,12,7551.67
7737.26,54,95,3,5260.08
3070.15,53,74,6,3795.65
6372.1,33,91,5,4036.69
7116.85,54,89,14,10643.33
1500.0,51,96,11,8005.95
2633.48,54,99,10,5928.59
1500.0,66,65,9,5330.05
4461.19,66,66,1,2243.78
6435.08,46,66,4,4217.68
8004.71,40,86,13,9309.97
5148.19,61,59,3,3972.24
8257.23,59,84,7,6950.58
2239.8,63,53,14,7687.61
1593.24,62,56,0,808.17
4888.9,40,92,7,5611.38
5768.13,59,80,6,6334.32
4934.61,66,95,3,2775.53
1500.0,53,55,5,1552.42
4821.76,30,89,2,3462.92
2391.06,68,66,8,4904.93
6339.35,32,97,10,9232.43
5733.2,44,78,10,7828.02
3120.24,23,72,11,7993.69
3972.27,18,91,3,3310.87
2881.57,18,67,7,5118.33
4874.64,20,53,5,4290.41
6910.28,25,60,7,8131.09
3028.55,67,60,2,1467.33
6008.09,60,62,0,1056.53
3939.48,48,64,14,8286.28
3414.25,60,67,11,5653.87
4785.94,49,74,12,7952.72
2929.52,69,58,10,5167.0
3892.7,63,86,7,3252.34
2604.24,44,61,9,6017.39
8929.45,33,92,10,9773.81
5070.53,68,79,0,1678.26
3600.55,68,81,0,662.03
5427.96,65,87,3,2902.34
4775.34,33,97,11,7737.06
4558.06,57,95,9,7532.66
6228.33,50,87,12,8206.72
6515.02,62,96,14,8821.14
3939.0,33,99,2,2467.85
3848.36,53,96,5,3464.85
4449.9,24,52,7,6867.93
1500.0,46,97,12,5533.2
1969.62,57,98,1,1984.79
7733.75,60,84,11,7728.2
8289.94,45,98,2,4599.59
4501.93,56,82,10,7398.01
6153.11,33,61,12,8987.02
5622.5,19,70,11,7520.16
11157.76,46,75,0,3380.04
7239.15,53,70,4,4238.5
4744.16,22,52,11,6689.72
3088.92,30,90,12,8491.25
1787.11,23,79,3,2234.42
5406.93,66,74,9,6609.6
3487.3,68,60,4,2800.45
2155.49,25,83,5,4125.79
3706.85,26,88,3,3215.34
2836.9,34,79,9,4430.46
8374.28,19,92,0,2997.16
6763.28,52,80,13,8714.02
4984.05,27,90,2,3074.64
7959.89,51,71,12,7290.16
5154.74,21,77,4,4448.45
3277.43,52,98,11,6708.84
8046.25,66,81,9,7324.49
6077.82,56,56,10,5916.8
2925.51,41,50,9,6434.44
4619.32,67,88,5,4623.18
3248.76,36,54,13,7682.42
2234.4,24,76,6,4457.41
6852.36,47,57,4,5279.39
8818.83,40,58,4,4457.78
2202.86,23,82,1,1233.77
6125.94,22,92,0,2318.49
3698.71,44,91,12,6400.67
4025.75,67,77,13,8262.9
3815.21,39,72,5,5470.22
3272.02,30,64,9,5645.87
5097.04,28,92,7,7007.21
3338.1,38,81,5,2714.35
5540.91,49,68,6,4465.5
4899.52,64,80,2,2877.24
4522.1,23,76,12,8526.46
3184.87,29,52,3,1704.71
3846.46,55,55,0,-78.18
6510.78,24,90,5,4688.36
6001.83,28,73,7,5233.72
3044.89,45,63,6,4936.65
5198.66,46,57,6,5428.04
6502.77,57,75,5,4654.79
1661.19,44,74,2,-225.23
6086.72,49,97,1,4345.67
3674.75,26,70,7,5505.9
6141.2,57,87,3,4482.7
3473.48,37,74,10,6603.95
1500.0,40,76,10,5849.43
1744.92,61,61,3,3079.83
5096.17,54,67,6,4591.43
5519.45,49,64,7,5645.03
3191.37,67,88,3,1906.93
6277.18,68,98,2,4291.19
1676.96,19,64,10,6725.38
4867.84,61,75,2,1625.39
2577.97,26,88,12,6377.12
3696.33,68,67,9,5893.55
5094.8,29,91,9,6125.63
3279.17,51,73,5,3251.4
4230.89,36,69,14,7205.55
7012.59,44,91,11,7726.11
3846.22,20,87,10,6535.16
6671.38,57,66,2,3447.44
2740.59,55,99,6,3144.63
6059.61,65,50,8,6451.13
7883.14,69,50,10,8572.81
1500.0,36,94,4,2973.19
3406.21,18,55,4,3241.74
6154.14,48,76,0,2927.47
4593.91,31,74,2,3917.46
5742.29,50,89,6,5424.64
3792.03,46,79,0,909.51
5173.18,28,65,14,9361.05
4688.65,54,94,8,4678.28
7335.56,63,74,12,9472.63
5508.84,38,51,11,7051.53
5675.21,23,75,0,1558.78
4176.25,58,64,10,7544.44
4024.79,36,80,4,3000.4
4134.88,31,57,11,7799.21
5788.9,66,91,6,4594.57
4158.03,56,55,10,7087.95
5579.55,35,70,3,2938.11
9150.8,63,84,7,7491.04
6742.25,19,86,1,3235.05
4347.95,55,61,11,6755.0
7402.43,37,77,9,8161.28
4183.85,19,64,0,1917.21
1500.0,67,73,1,24.09
2983.83,20,64,13,8434.83
1500.0,56,56,4,2379.7
4296.97,35,84,3,1380.97
5036.84,38,54,2,2901.32
8352.87,47,69,1,6052.37
5653.85,40,67,6,5542.77
4561.8,26,95,13,8351.25
6658.81,20,58,3,2924.76
1500.0,43,82,2,1707.07
5471.23,37,61,3,4722.51
6541.73,61,56,13,9743.27
2042.83,40,67,0,76.18
7287.51,67,73,0,1273.8
5676.99,66,57,11,7000.78
4169.42,50,72,12,8025.23
6265.56,54,89,0,2586.14
9541.39,40,67,9,8478.77
5363.73,55,95,9,7788.76
5496.44,54,52,8,4758.97
4081.28,22,74,10,6193.41
3300.31,31,62,0,747.05
6660.67,67,58,3,1016.12
3287.83,55,87,2,2217.75
5143.13,40,80,7,6076.14
4044.69,56,93,2,2427.92
5957.96,65,93,6,4985.03
5667.32,63,71,0,1836.88
7075.08,29,68,1,3572.48
3979.97,34,51,7,5677.93
4460.25,30,66,11,7160.67
3042.47,33,60,6,4761.71
4111.41,44,71,5,3110.48
5754.6,41,96,5,6347.17
6513.98,54,70,3,2827.35
3155.67,67,55,4,4293.09
6739.21,26,99,8,5000.33
7711.28,34,70,7,7073.78
5826.87,60,78,12,7968.82
8753.59,40,54,1,2785.23
3452.42,29,58,10,4977.94
2510.69,21,78,5,4446.3
1500.0,68,74,0,-2036.86
7992.09,22,64,1,1969.45
6308.73,48,55,10,6189.21
4888.83,24,88,3,4740.69
5559.94,28,79,14,8225.03
2749.02,67,70,12,6980.95
9891.5,29,52,5,5526.29
5258.44,55,72,9,6533.2
5218.79,18,78,8,8685.36
6451.53,25,93,3,6276.72
5962.02,34,51,1,1449.76
5447.77,69,85,12,7811.89
3419.05,38,99,13,8261.48
5942.94,21,62,14,9083.25
8764.05,66,94,9,6669.94
7690.84,45,69,4,6014.8
8186.37,54,53,7,6855.1
3977.57,48,80,1,2329.97
3020.79,39,84,14,7774.03
4748.43,26,69,10,8161.19
5111.45,65,74,7,6357.49
7188.38,43,94,6,7005.4
1615.07,62,57,13,7427.63
8059.1,50,84,5,5211.64
4683.98,53,56,1,3013.04
4146.24,54,96,4,2928.26
2975.79,41,91,14,8967.41
1690.29,69,68,7,2684.36
6646.34,21,60,1,5599.62
5146.64,26,56,10,7020.48
2420.08,32,61,14,7411.63
2409.84,50,57,4,1120.49
4328.43,22,99,14,9859.9
8338.04,43,81,1,3770.04
4480.82,20,79,10,7030.28
1993.71,49,55,6,1949.25
4508.51,59,52,3,2373.56
4454.55,65,78,3,3372.4
1500.0,38,93,10,4593.0
4891.41,18,69,9,4863.02
4538.13,43,53,5,3842.75
6392.41,44,66,0,2347.33
8697.91,53,73,8,7113.39
7253.13,64,98,14,10086.23
4462.22,50,72,2,2537.66
2786.95,38,73,12,7265.42
10146.72,47,88,0,4200.88
5118.44,61,95,12,6876.12
5027.86,38,90,9,6730.7
4951.75,33,85,12,9900.91
5396.17,54,93,6,4863.49
4711.28,26,55,12,7553.69
3852.68,46,72,11,6221.02
3906.28,37,83,9,6809.12
4934.49,25,79,12,7492.26
3913.15,31,75,5,4891.02
3574.31,64,54,1,319.71
5212.86,55,90,4,2769.92
4490.05,58,85,2,2678.15
8007.99,59,56,9,8177.85
1500.0,24,56,10,5826.12
7183.01,58,86,8,6825.01
7492.17,34,78,0,1461.16
1500.0,27,91,12,6923.77
4314.62,54,58,5,4280.59
4257.12,68,86,3,5391.23
2184.98,42,70,10,2432.2
3444.37,40,98,6,3145.67
2778.85,61,84,9,3889.15
8504.54,57,70,4,5180.85
6871.36,63,95,12,7138.0
7543.11,53,93,8,6802.23
6443.34,58,71,4,5445.27
2741.9,67,51,1,1011.17
3950.96,35,95,1,3107.55
5978.75,59,53,3,-94.14
2555.74,47,62,9,6755.92
6426.0,56,84,13,7340.33
4519.35,23,56,5,3951.82
4250.36,32,83,8,5281.83
6421.92,41,96,12,8980.49
5888.53,46,83,14,10725.8
4278.07,59,64,5,3846.37
7318.66,62,98,11,8422.3
2837.87,33,91,2,3093.46
6231.87,26,80,10,5533.53
6186.2,23,88,12,8873.04
4380.91,31,64,3,4250.71
5652.27,34,98,5,4881.65
2497.77,28,50,2,2399.19
6848.05,45,80,7,7316.63
4630.2,24,58,14,10572.22
3954.55,50,64,7,4155.68
7098.02,46,84,14,7112.03
3591.31,46,59,9,6756.63
2183.08,19,64,0,1874.54
1886.74,69,68,12,6144.62
6212.02,47,76,9,4467.9
2439.14,36,55,1,1954.51
8509.59,61,50,1,3480.4
1500.0,61,52,7,3388.74
8392.91,66,98,7,5013.08
5422.03,27,88,6,5700.36
4806.57,18,51,2,1902.55
3910.16,67,86,14,9399.17
5798.27,52,94,0,2383.72
4924.73,34,69,13,8734.47
7206.6,51,78,9,8015.54
5228.46,51,77,4,4354.15
5300.6,54,65,9,6427.21
4272.78,67,98,3,3123.98
4886.11,33,82,0,2509.2
5615.6,22,78,7,6685.53
1579.66,30,76,5,3602.48
2303.63,18,57,2,2133.78
6486.53,33,57,13,7030.62
5341.73,25,86,13,8746.69
4632.03,23,91,11,7431.03
5036.87,60,67,6,3502.77
5695.16,61,62,4,3144.52
3920.48,30,85,2,3422.78
3443.39,26,83,14,9751.39
5391.69,56,99,1,1318.63
3043.25,67,59,6,2229.31
5816.51,51,97,5,3991.06
1594.83,69,88,7,3466.41
7058.31,26,93,8,7560.43
5945.19,19,77,3,4546.86
5512.06,29,75,2,1747.34
6965.38,63,92,0,3017.1
8330.95,22,99,5,6899.31
7028.74,40,84,9,7098.97
1500.0,25,92,2,2069.34
2440.85,47,68,5,1895.95
3750.36,29,80,8,5534.79
5052.18,20,66,10,7003.84
6035.32,67,63,5,4153.89
3548.51,47,81,5,3757.77
5373.53,37,66,4,4169.41
3489.23,56,72,10,4997.16
3776.96,49,95,8,5089.59
2186.68,64,87,4,-157.53
3153.53,66,54,3,2881.59
2296.63,56,97,3,1168.33
3048.25,42,50,5,2802.08
7107.28,51,55,10,6040.39
3101.2,31,72,2,1711.35
10264.76,53,82,8,8996.41
5986.64,60,66,7,5691.8
5369.67,49,88,9,6559.62
3283.28,55,53,2,-52.53
6400.62,30,71,13,10963.35
3848.72,60,96,8,6402.26
5244.02,29,87,3,3820.16
10120.17,50,96,8,7637.15
4807.88,50,91,3,3531.23
7298.55,58,70,13,9032.62
3593.65,58,62,7,2794.93
4930.02,59,67,9,4131.41
8541.6,54,93,13,11054.85
3746.07,21,52,9,6267.38
8624.9,62,98,2,3291.21
6415.5,67,61,5,3933.62
3875.07,33,80,12,6533.84
6264.82,64,96,12,8292.48
6945.11,63,96,14,10187.23
6243.62,35,70,5,6439.44
1859.55,45,86,8,5666.36
3545.73,22,95,9,5623.32
4504.96,25,80,2,2549.26
4851.13,55,73,10,5424.04
6241.34,60,55,10,6164.47
5355.4,67,63,9,5106.49
2329.31,60,98,1,1503.05
5760.4,34,70,7,5699.14
6221.17,36,71,1,4503.59
6119.58,58,62,8,7622.76
7161.56,58,58,5,4801.06
6667.84,50,58,14,9273.72
5918.36,39,63,3,4138.03
4859.67,43,73,5,3854.66
1678.08,32,80,14,10659.43
5859.24,50,87,0,2665.21
5415.38,27,54,4,4064.56
5543.16,22,74,5,5080.38
2446.5,33,58,8,4221.85
2837.89,58,92,7,4114.81
7106.31,66,52,0,2174.9
4920.89,26,64,12,7782.42
6363.0,47,67,4,3971.78
5056.64,32,88,0,1583.95
5059.51,55,99,9,5743.72
6876.57,39,99,1,2502.87
3967.91,20,78,2,4170.39
5192.24,35,77,2,1811.49
4075.45,39,93,14,8195.34
4131.01,64,66,3,2347.29
4381.66,49,74,11,8296.53
5444.27,53,93,7,5245.74
4042.5,22,81,2,3251.54
7511.51,65,99,8,6933.58
3210.79,18,96,6,5151.32
4626.26,65,97,8,4070.26
4120.54,45,50,8,5867.88
7893.96,23,58,14,10477.34
5393.11,40,82,3,5588.72
7063.69,40,68,11,7857.63
2028.88,64,52,4,36.45
5534.1,18,81,6,5273.69
6779.26,32,84,8,7139.97
5164.57,66,83,13,7259.07
7130.96,26,61,2,4488.31
3965.42,31,65,12,6577.94
7818.69,65,93,11,9744.42
9597.8,62,86,6,6496.33
4274.32,43,99,12,7194.76
4108.99,34,77,12,7108.91
7906.77,37,90,14,11780.88
8159.14,55,62,2,3083.54
3954.28,54,77,0,3197.28
4159.63,59,77,3,2917.93
4436.43,24,55,5,6747.97
2311.1,45,68,5,4541.26
3162.7,48,96,6,5410.33
2991.72,53,92,10,6466.58
3464.4,20,85,6,5103.26
4930.63,51,50,12,7360.81
5468.43,22,88,2,3098.23
8101.0,47,81,7,5263.03
3003.29,25,71,5,2521.22
6968.64,24,77,7,5150.74
4572.02,31,76,4,5834.45
4901.07,34,57,7,4404.16
6349.64,32,75,1,2302.38
2754.56,24,69,14,8866.8
5764.82,26,69,6,5199.22
5332.9,22,76,13,8185.32
5984.9,51,88,3,2841.84
5578.34,48,97,10,8510.82
9910.6,65,54,8,8881.04
3724.52,54,54,14,8371.5
3938.01,40,57,4,3990.13
3753.72,53,62,8,4581.78
3889.05,48,83,5,4474.02
3725.23,37,52,2,710.07
7378.03,37,70,10,7616.19
7841.01,63,99,0,2711.21
3858.51,24,76,5,4351.87
3335.29,47,89,12,8689.47
5942.83,28,98,8,7558.22
3895.55,51,58,8,4970.83
6265.86,54,88,4,5180.27
5405.85,65,81,9,6441.1
1968.51,18,71,11,7075.82
8095.01,55,90,6,6450.97
8591.76,60,92,13,9981.0
3774.42,59,96,10,5710.71
4224.6,65,58,0,440.12
5571.73,50,88,6,4367.2
5668.91,65,57,6,4977.04
6317.09,37,75,10,7929.77
9020.41,57,82,9,7528.7
4646.11,28,72,8,8187.92
3403.41,19,94,4,3078.78
